survey_id,datum,datum_source,url
LM_16_OVLX_20260212_CS_602_605_SORT_ACTUAL_DEPTHS,ACTUALDEPTH,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_16_OVLX_20260212_CS_602_605_SORT_ACTUAL_DEPTHS.ZIP
LM_18_FRIX_20260107_CS_709_711_SORT_ACTUALDEPTHS,ACTUALDEPTH,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_18_FRIX_20260107_CS_709_711_SORT_ACTUALDEPTHS.ZIP
UM_SL_KBC_20260211_CS_1,Unknown,,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_KBC_20260211_CS_1.ZIP
UM_22_MVR_20250306_CS_30403068_25A,Unknown (found: RTK_TO_POOL_DATUM==NA),XYZ,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVR/CEMVR_DIS_UM_22_MVR_20250306_CS_30403068_25A.ZIP
UM_SL_PRC_20251222_BD_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_PRC_20251222_BD_1.ZIP
LM_19_MEMX_20260113_CS_741_744_SORT_ACTUAL_DEPTHS,LWRP2007,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_19_MEMX_20260113_CS_741_744_SORT_ACTUAL_DEPTHS.ZIP
LM_19_MEMX_20260115_CS_734_737_SORT_ACTUAL_DEPTHS,LWRP2007,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_19_MEMX_20260115_CS_734_737_SORT_ACTUAL_DEPTHS.ZIP
LM_19_MEMX_20260428_CS_755_758_SORT_ACTUAL_DEPTHS,LWRP2007,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_19_MEMX_20260428_CS_755_758_SORT_ACTUAL_DEPTHS.ZIP
LM_19_MEMX_20260427_CS_739_744_SORT_ACTUAL_DEPTHS,LWRP2007,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_19_MEMX_20260427_CS_739_744_SORT_ACTUAL_DEPTHS.ZIP
LM_19_MEMX_20260506_CS_736_SORT_ACTUALDEPTHS,LWRP2007,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_19_MEMX_20260506_CS_736_SORT_ACTUALDEPTHS.ZIP
LM_15_CVB_20260417_CS_6020_5984,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_15_CVB_20260417_CS_6020_5984.ZIP
LM_15_CVB_20260417_CS_6078_6022,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_15_CVB_20260417_CS_6078_6022.ZIP
LM_15_CVB_20260417_CS_6124_6080,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_15_CVB_20260417_CS_6124_6080.ZIP
LM_15_CVB_20260417_CS_6170_6126,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_15_CVB_20260417_CS_6170_6126.ZIP
LM_12_EYB_20260423_CS_5658_5630,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_12_EYB_20260423_CS_5658_5630.ZIP
LM_12_EYB_20260422_CS_5628_5572,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_12_EYB_20260422_CS_5628_5572.ZIP
LM_12_EYB_20260421_CS_5570_5502,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_12_EYB_20260421_CS_5570_5502.ZIP
LM_13_OZE_20260421_CS_5718_5658,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_13_OZE_20260421_CS_5718_5658.ZIP
LM_13_OZE_20260420_CS_5790_5720,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_13_OZE_20260420_CS_5790_5720.ZIP
LM_13_OZE_20260419_CS_5810_5792,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_13_OZE_20260419_CS_5810_5792.ZIP
LM_14_VBO_20260419_CS_5850_5810,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_14_VBO_20260419_CS_5850_5810.ZIP
LM_14_VBO_20260418_CS_5898_5852,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_14_VBO_20260418_CS_5898_5852.ZIP
LM_14_VBO_20260417_CS_5938_5900,NAVD88,Both,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVK/CEMVK_DIS_LM_14_VBO_20260417_CS_5938_5900.ZIP
UM_SL_GTC_20260209_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_GTC_20260209_CS_1.ZIP
UM_SL_DIC_20260120_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_DIC_20260120_CS_1.ZIP
UM_SL_CRC_20260211_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_CRC_20260211_CS_1.ZIP
UM_SL_ILC_20260224_BD_2,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_ILC_20260224_BD_2.ZIP
UM_SL_DBC_20260116_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_DBC_20260116_CS_1.ZIP
UM_SL_PRC_20260213_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_PRC_20260213_CS_1.ZIP
UM_SL_EPC_20260115_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_EPC_20260115_CS_1.ZIP
UM_SL_DIC_20260210_BD_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_DIC_20260210_BD_1.ZIP
UM_SL_DIC_20260122_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_DIC_20260122_CS_1.ZIP
UM_SL_ILC_20260224_BD_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_ILC_20260224_BD_1.ZIP
UM_SL_ILC_20260213_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_ILC_20260213_CS_1.ZIP
UM_SL_PRC_20260212_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_PRC_20260212_CS_1.ZIP
UM_SL_RRC_20260209_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_RRC_20260209_CS_1.ZIP
UM_SL_GTC_20260122_CS_1,LWRP2014,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVS/CEMVS_DIS_UM_SL_GTC_20260122_CS_1.ZIP
LM_19_MEMX_20260709_CS_755_758_SORT_ACTUAL_DEPTHS,LWRP2007,PDF,https://ehydroprod.blob.core.usgovcloudapi.net/ehydro-surveys/CEMVM/CEMVM_DIS_LM_19_MEMX_20260709_CS_755_758_SORT_ACTUAL_DEPTHS.ZIP
